user,date,text,favorite_count
tokennomics_21,Thu Jun 10 06:32:38 +0000 2021,"Three things cannot be long hidden: the sun, the moon, and #Supermoon

#OSM #SolarEclipse #Eclipse #Crypto #NFTs… https://t.co/OukdSQQnUH",30
arafatshahstar,Thu Jun 10 08:00:20 +0000 2021,"@KSI Good luck in the future 👍🏽
Please look in to #SUPERMOON, awesome cryptocurrency!",1
simon_weather,Thu Jun 10 08:24:24 +0000 2021,"RT @DavidCostelloDC: The Full Moon above Dun Laoghaire Lighthouse.

Some more pictures of the #SuperMoon and some words at the link below.…",0
sharongrimes1,Thu Jun 10 05:55:50 +0000 2021,"RT @DavidCostelloDC: The Full Moon above Dun Laoghaire Lighthouse.

Some more pictures of the #SuperMoon and some words at the link below.…",0
youngvikin07,Thu Jun 10 06:37:00 +0000 2021,"RT @tokennomics_21: Three things cannot be long hidden: the sun, the moon, and #Supermoon

#OSM #SolarEclipse #Eclipse #Crypto #NFTs #BSC #…",0
Metropo73995447,Thu Jun 10 06:34:13 +0000 2021,"RT @tokennomics_21: Three things cannot be long hidden: the sun, the moon, and #Supermoon

#OSM #SolarEclipse #Eclipse #Crypto #NFTs #BSC #…",0
nevrwhere,Thu Jun 10 06:31:21 +0000 2021,"RT @mymixtapez: This summer a #SolarEclipse, #Supermoon, #MeteorShower &amp; a #BlueMoon are all set to occur.. The
eclipse will happen on June…",0
iKohinoor_,Thu Jun 10 06:29:05 +0000 2021,"RT @mymixtapez: This summer a #SolarEclipse, #Supermoon, #MeteorShower &amp; a #BlueMoon are all set to occur.. The
eclipse will happen on June…",0
SampadaMoghe,Thu Jun 10 06:22:27 +0000 2021,"RT @mymixtapez: This summer a #SolarEclipse, #Supermoon, #MeteorShower &amp; a #BlueMoon are all set to occur.. The
eclipse will happen on June…",0
zir_bhris,Thu Jun 10 06:17:01 +0000 2021,"RT @mymixtapez: This summer a #SolarEclipse, #Supermoon, #MeteorShower &amp; a #BlueMoon are all set to occur.. The
eclipse will happen on June…",0
kingg_vaee,Thu Jun 10 06:04:08 +0000 2021,"RT @mymixtapez: This summer a #SolarEclipse, #Supermoon, #MeteorShower &amp; a #BlueMoon are all set to occur.. The
eclipse will happen on June…",0
cartierjay__,Thu Jun 10 06:00:25 +0000 2021,"RT @mymixtapez: This summer a #SolarEclipse, #Supermoon, #MeteorShower &amp; a #BlueMoon are all set to occur.. The
eclipse will happen on June…",0
NumerologyZone,Thu Jun 10 05:58:55 +0000 2021,A sizzling summer season is coming up with a #SolarEclipse #Supermoon #MeteorShower and a #BlueMoon during a 5 year… https://t.co/ZGykuGXwVI,0
Meecheii,Thu Jun 10 05:53:29 +0000 2021,"RT @mymixtapez: This summer a #SolarEclipse, #Supermoon, #MeteorShower &amp; a #BlueMoon are all set to occur.. The
eclipse will happen on June…",0
CryptoA08967435,Thu Jun 10 06:41:31 +0000 2021,"RT @tokennomics_21: Three things cannot be long hidden: the sun, the moon, and #Supermoon

#OSM #SolarEclipse #Eclipse #Crypto #NFTs #BSC #…",0
Mahesh20001011,Thu Jun 10 05:50:30 +0000 2021,"RT @mymixtapez: This summer a #SolarEclipse, #Supermoon, #MeteorShower &amp; a #BlueMoon are all set to occur.. The
eclipse will happen on June…",0
ArmyGirlHere,Thu Jun 10 05:47:30 +0000 2021,"RT @mymixtapez: This summer a #SolarEclipse, #Supermoon, #MeteorShower &amp; a #BlueMoon are all set to occur.. The
eclipse will happen on June…",0
icetreyt,Thu Jun 10 05:45:07 +0000 2021,"RT @mymixtapez: This summer a #SolarEclipse, #Supermoon, #MeteorShower &amp; a #BlueMoon are all set to occur.. The
eclipse will happen on June…",0
iamottosensei,Thu Jun 10 05:44:57 +0000 2021,"RT @mymixtapez: This summer a #SolarEclipse, #Supermoon, #MeteorShower &amp; a #BlueMoon are all set to occur.. The
eclipse will happen on June…",0
iBarbieBoss,Thu Jun 10 05:42:06 +0000 2021,"RT @mymixtapez: This summer a #SolarEclipse, #Supermoon, #MeteorShower &amp; a #BlueMoon are all set to occur.. The
eclipse will happen on June…",0
LisaLeeBingham,Thu Jun 10 05:41:55 +0000 2021,"RT @mymixtapez: This summer a #SolarEclipse, #Supermoon, #MeteorShower &amp; a #BlueMoon are all set to occur.. The
eclipse will happen on June…",0
prez_MBG808,Thu Jun 10 05:39:37 +0000 2021,"RT @mymixtapez: This summer a #SolarEclipse, #Supermoon, #MeteorShower &amp; a #BlueMoon are all set to occur.. The
eclipse will happen on June…",0
iluvmylocz,Thu Jun 10 05:38:04 +0000 2021,"RT @mymixtapez: This summer a #SolarEclipse, #Supermoon, #MeteorShower &amp; a #BlueMoon are all set to occur.. The
eclipse will happen on June…",0
fantomthereb,Thu Jun 10 05:35:19 +0000 2021,"RT @mymixtapez: This summer a #SolarEclipse, #Supermoon, #MeteorShower &amp; a #BlueMoon are all set to occur.. The
eclipse will happen on June…",0
NCRYPT14,Thu Jun 10 06:39:09 +0000 2021,"RT @tokennomics_21: Three things cannot be long hidden: the sun, the moon, and #Supermoon

#OSM #SolarEclipse #Eclipse #Crypto #NFTs #BSC #…",0
tid91,Thu Jun 10 06:41:55 +0000 2021,"RT @mymixtapez: This summer a #SolarEclipse, #Supermoon, #MeteorShower &amp; a #BlueMoon are all set to occur.. The
eclipse will happen on June…",0
PhotosOfDublin,Thu Jun 10 08:23:56 +0000 2021,"RT @DavidCostelloDC: The Full Moon above Dun Laoghaire Lighthouse.

Some more pictures of the #SuperMoon and some words at the link below.…",0
MemeMac37026543,Thu Jun 10 06:42:55 +0000 2021,"RT @tokennomics_21: Three things cannot be long hidden: the sun, the moon, and #Supermoon

#OSM #SolarEclipse #Eclipse #Crypto #NFTs #BSC #…",0
Blodwyn60,Thu Jun 10 08:02:37 +0000 2021,"RT @mymixtapez: This summer a #SolarEclipse, #Supermoon, #MeteorShower &amp; a #BlueMoon are all set to occur.. The
eclipse will happen on June…",0
billy_af02,Thu Jun 10 07:56:14 +0000 2021,"RT @mymixtapez: This summer a #SolarEclipse, #Supermoon, #MeteorShower &amp; a #BlueMoon are all set to occur.. The
eclipse will happen on June…",0
1FrancisMercier,Thu Jun 10 07:24:13 +0000 2021,RT @Weeb12414341: @CoinTigerEX @supermoon_token Join the great community and meet the team 🚀 We have big plans it's just the beginning 🔥 #s…,0
1FrancisMercier,Thu Jun 10 07:23:52 +0000 2021,RT @thecryptodawg: @CoinTigerEX @supermoon_token An amazing time to be alive!  Buy $OSM on @CoinTiger #supermoon #themoonisyours https://t.…,0
WilsonL71392299,Thu Jun 10 07:18:19 +0000 2021,RT @JestesProperty: @rubenavelar97 @Crypt0mummy @supermoon_token To the moon and beyond with the space exploration scholarships #supermoon…,0
WilsonL71392299,Thu Jun 10 07:18:14 +0000 2021,RT @KViswanathan2k: @rubenavelar97 @Crypt0mummy @supermoon_token Undoubtedly it's #supermoon #OSM,0
WilsonL71392299,Thu Jun 10 07:18:05 +0000 2021,RT @Jean30759125: @rubenavelar97 @Crypt0mummy @supermoon_token #supermoon and beyond💥💥💥,0
WilsonL71392299,Thu Jun 10 07:18:03 +0000 2021,RT @adam_saleemi: @rubenavelar97 @Crypt0mummy @supermoon_token #Supermoon $OSM You best believe to infinity &amp; beyond! 🌙🚀🚀🚀,0
WilsonL71392299,Thu Jun 10 07:18:00 +0000 2021,RT @JestesProperty: @mcintoshkevin4 @rubenavelar97 @Crypt0mummy @supermoon_token It's such a great community lots of good stuff happening a…,0
WilsonL71392299,Thu Jun 10 07:17:57 +0000 2021,RT @mcintoshkevin4: @rubenavelar97 @Crypt0mummy @supermoon_token The best community ever!!!  The best project!!!  Biggest visions!!!  Best…,0
