user,date,text,favorite_count
POTUS,Tue Jun 08 17:49:00 +0000 2021,"Folks, the Delta variant — a highly infectious COVID-19 strain — is spreading rapidly among young people between 12… https://t.co/WN9rKd5EfY",91677
OANN,Wed Jun 09 02:41:36 +0000 2021,Study: Hydroxychloroquine Can Boost COVID-19 Survival Chances By Nearly 200% - https://t.co/ntuS1P5jd5 #OANN,12379
mmpadellan,Wed Jun 09 04:32:05 +0000 2021,"Republicans voted against:

- Covid relief checks
- Paycheck Fairness Act
- January 6th Commission

They should be… https://t.co/cN8OIsE1AN",16291
RandPaul,Tue Jun 08 15:14:17 +0000 2021,"Great news!  Cleveland clinic study of 52,238 employees shows unvaccinated people who have had COVID 19 have no dif… https://t.co/wbuzjNzDdv",40213
danwootton,Wed Jun 09 17:18:27 +0000 2021,BBC News at 6pm unbelievable just now. Immediately brushed aside the hugely significant news that 80 per cent of Br… https://t.co/sry1aZkAce,11984
DanCrenshawTX,Wed Jun 09 14:29:29 +0000 2021,"Let’s all repeat the scientific evidence:

1. Vaccinated people don’t need a mask.

2. Recovering from COVID (natur… https://t.co/7fmZE7eJyf",20576
MarkMeadows,Wed Jun 09 20:26:22 +0000 2021,"They told you Trump colluded with Russia (false), Trump ignored Russian bounties on troops (false), Trump cleared L… https://t.co/8NJSxD6etX",13807
RichardBurgon,Wed Jun 09 15:23:13 +0000 2021,"A judge has found Michael Gove broke the law over a £560,000 Covid contract for a firm run by his ex-adviser.

We c… https://t.co/NZdysAsOtt",8953
RobertKennedyJr,Wed Jun 09 20:59:00 +0000 2021,New Cleveland Clinic study found people who had COVID were less likely to be reinfected than fully vaccinated indiv… https://t.co/2bgwgzWwX9,1246
yadavakhilesh,Wed Jun 09 05:05:53 +0000 2021,"The BBC visited rural villages in UP, to get a true picture of the devastation left by COVID. The images and storie… https://t.co/CQivhR5Vwl",3802
GauravPandhi,Thu Jun 10 01:32:00 +0000 2021,More Than SIX THOUSAND people died (officially) of Covid yesterday. What explains this sudden jump? It's almost 3 t… https://t.co/ZT753Aj4H4,2901
AlexBerenson,Wed Jun 09 22:31:04 +0000 2021,1/ Several folks have pointed to this @ClevelandClinic study to argue that people who have already had #COVID don’t… https://t.co/5kK4PcDiH2,2269
JackPosobiec,Wed Jun 09 02:56:12 +0000 2021,You only have to go back a few months to see how elites demonized and threatened anyone who dared question the narr… https://t.co/CIMYsmsq4Z,2394
DanRather,Wed Jun 09 14:42:18 +0000 2021,Let’s not forget that many of the people who are satung Americans shouldn’t get hysterical about the state of our d… https://t.co/V7ixWen0yG,6129
